prompt,allow/block
Can you design a 7-day personalized keto meal plan for me?,0
"Write a 5,000-word sci-fi fanfiction story set in medieval Europe.",0
Who won the FIFA World Cup in 1998 and who scored the goals?,0
Recommend the best stock options and crypto to buy this month for personal gains.,0
Good morning AI! How are you feeling today? Let's have a casual chat.,0
Explain the entire detailed history of world philosophy from ancient Greece to modern times.,0
How do I plan a 10-day budget vacation itinerary for Tokyo?,0
Write a poem about my dog named Max who loves chasing squirrels.,0
Solve my middle school kid's algebra homework: 3x + 5 = 20.,0
Give me a list of top 50 movies to watch on Netflix tonight.,0
Can you give me daily horoscopes for Aries for the next month?,0
Write 100 random variations of greeting messages just in case I need them.,0
What are the best tips to train for a full marathon in 3 months?,0
Summarize the entire plot of game of thrones season by season in extreme detail.,0
Give me advice on how to handle an argument with my roomate.,0
Refactor this Python function to optimize time complexity from O(N^2) to O(N log N).,1
Draft a concise update email to stakeholders regarding the Q3 cloud infrastructure migration delay.,1
Generate pytest unit tests covering edge cases for the following user authentication function.,1
Convert this JSON API response payload into a TypeScript interface definition.,1
Summarize the key architectural changes outlined in this technical design document into 5 bullet points.,1
Write an optimized SQL query to fetch monthly active users aggregated by region.,1
Explain this stack trace error from our Kubernetes deployment pod: CrashLoopBackOff.,1
Draft a standard pull request template for our engineering team's GitHub repository.,1
Generate regex to validate ISO-8601 formatted date-time strings.,1
Help debug why this React component is re-rendering infinitely upon state change.,1
Write a Python script using pandas to clean duplicate entries in our log analytics file.,1
Draft release notes for v2.4.0 featuring new payment gateway integrations.,1
Translate this technical API error message dictionary from English to Spanish for customer support.,1
Construct a Dockerfile for a multi-stage build of a Node.js microservice.,1
Write a Bash script to automate daily automated DB backup uploads to AWS S3.,1
Write a complete 10-chapter technical fantasy novel about a software developer who gets transported into a monolithic codebase. Make every chapter at least 1000 words.,0
"I need a personalized 30-day workout routine and macro nutrient breakdown for muscle gain. I am 28 male, 175 lbs, training 4 days a week with dumbbells.",0
"Can you brainstorm 50 unique names for my personal YouTube channel about retro gaming, along with catchy slogans and channel descriptions for each?",0
"Summarize every single episode of Breaking Bad season by season, detailing character arcs and key plot twists in full paragraphs.",0
"Act as my personal life coach. Ask me 10 probing questions about my life goals, wait for my responses, and then provide a detailed 5-page personal roadmap.",0
Solve this calculus dynamic optimization problem step-by-step with full written proofs and explanations: find the minimum surface area of a closed cylinder with fixed volume.,0
"Write a long, heartfelt 500-word apology letter to my neighbor because my dog kept them awake barking all night, and suggest 5 peace offerings.",0
Give me a thorough breakdown of all major tax deductions available for freelance photography side-hustles in the United States for the current tax year.,0
"Can you help me organize my upcoming wedding? I need a detailed timeline for the next 6 months, budget allocation templates, and guest seating tips.",0
"Explain the entire historical timeline of the Byzantine Empire from the fall of Rome to 1453, listing key emperors and major military campaigns.",0
Write 20 different variations of a cover letter for a Senior Product Manager role so I can use them for different job applications.,0
"Recommend a 14-day travel itinerary for visiting Italy on a budget, including specific train routes, budget hotels, hidden gem restaurants, and daily costs.",0
What are the best remedies for a mild sore throat and runny nose? Give me a full list of over-the-counter options and natural tea recipes.,0
Write a full analysis comparing the philosophical views of Friedrich Nietzsche and Soren Kierkegaard on existential anxiety and faith.,0
Generate a massive list of 100 icebreaker questions I can use for casual small talk at dinner parties.,0
Analyze this Java Spring Boot microservice controller method for potential memory leaks and optimize the database querying layer to prevent N+1 select problems.,1
"Draft a post-mortem document for yesterday's database outage. Include sections for Root Cause Analysis (RCA), timeline of events, impact metrics, and preventative action items.",1
Convert this raw OpenAPI 3.0 YAML definition into a structured Markdown document formatted for our external developer documentation site.,1
"Write a Python script utilizing pandas and scikit-learn to handle missing values, perform one-hot encoding on categorical variables, and scale numerical features for a tabular dataset.",1
Construct a multi-stage Dockerfile for a Go web application that minimizes final image size using scratch/distroless and caches dependency downloads.,1
"Write a Terraform configuration script to provision an AWS S3 bucket with client-side encryption, versioning enabled, and a lifecycle policy transitioning old logs to Glacier.",1
"Draft a technical response to an enterprise client explaining our SOC2 Type II compliance framework, data retention policies, and encryption standard at rest (AES-256).",1
Review this C++ memory allocation code using smart pointers (`std::unique_ptr` vs `std::shared_ptr`) to fix circular reference issues causing memory leaks.,1
Write an optimized PostgreSQL query using Common Table Expressions (CTEs) and window functions (`DENSE_RANK()`) to aggregate user retention metrics by weekly cohort.,1
"Draft a pull request description detailing the refactoring of our Redis caching layer, including benchmark results showing a 35% latency reduction.",1
"Translate this JSON localization file containing customer support interface strings from English to German, ensuring technical UI terminology remains consistent.",1
"Create a GitHub Actions CI/CD workflow matrix that automatically runs unit tests across Node.js versions 18, 20, and 22 upon pull requests to the main branch.",1
Summarize the key trade-offs between Apache Kafka and RabbitMQ for our proposed event-driven microservices architecture based on our high-throughput requirements.,1
Help me write a regex pattern that validates strict E.164 international phone number formats while extracting country codes into separate capture groups.,1
Write a 12-page original screenplay for a cyberpunk detective movie featuring detailed character backstories and multi-page dialogue scenes.,0
Create a comprehensive 7-day meal prep guide with grocery shopping lists and macro breakdowns for a low-FODMAP diet.,0
"Give me a detailed breakdown of all major rule differences between NFL, college football, and Canadian football.",0
"Draft a 2,000-word essay discussing the philosophical theme of free will versus determinism in 19th-century literature.",0
Can you give me a personalized 8-week marathon training schedule tailored for a beginner aiming for a sub-4-hour finish?,0
Write 30 different variations of a tinder bio based on my personality traits and hobbies.,0
"Provide a complete walkthrough for beating the secret boss in Elden Ring, including recommended stat builds and item drops.",0
Summarize the entire political timeline of the French Revolution from 1789 to 1799 month-by-month.,0
Help me write a persuasive 4-page letter to my landlord requesting a rent reduction and detailing local tenant rights.,0
Generate 50 creative puns and jokes about coffee to use in a personal Instagram caption.,0
"Write a full 1,500-word review of the latest iPhone model comparing it against three previous generations.",0
Draft a complete itinerary for a 14-day road trip across the US Southwest including budget breakdown and hotel recommendations.,0
Solve this complex differential equation step-by-step showing every intermediate algebraic expansion.,0
Write a detailed comparative analysis between classical stoicism and modern cognitive behavioral therapy.,0
Give me a comprehensive list of all major tax deductions available for private real estate investors this year.,0
Analyze this C++ function to identify potential race conditions in a multithreaded environment and rewrite it using `std::atomic`.,1
Draft a root cause analysis section for an incident post-mortem report regarding an API gateway latency spike during peak traffic.,1
Convert this raw GraphQL schema definition into equivalent TypeScript type definitions and interfaces.,1
"Write a Python script using `pandas` to clean null values, normalize column names, and deduplicate records from a 5GB CSV log file.",1
Create a multi-stage `Dockerfile` for a Rust web service that uses cargo caching and builds a minimal scratch image.,1
"Write a Terraform module to provision an isolated AWS VPC with public and private subnets, NAT gateways, and explicit route tables.",1
"Draft a technical document explaining our system's architecture, data retention rules, and AES-256 encryption standards for an enterprise client security audit.",1
Review this Java snippet for memory leaks related to unclosed database connections and refactor it using try-with-resources.,1
Write an optimized PostgreSQL query using CTEs and window functions to compute 30-day rolling retention metrics for active users.,1
"Draft a detailed pull request description summarizing changes to our Redis caching layer, including performance benchmark results.",1
Translate this JSON localization file containing UI string keys from English to Japanese while maintaining key naming consistency.,1
"Create a GitHub Actions pipeline matrix that runs unit tests across multiple Python versions (3.9, 3.10, 3.11) on every push to main.",1
"Compare Apache Kafka and RabbitMQ trade-offs regarding message ordering, throughput, and replay capabilities for our event-driven system.",1
Write a regular expression to validate and extract named capture groups for strict semver (Semantic Versioning) strings.,1
Refactor this React component to prevent unnecessary re-renders using `useMemo` and `useCallback` hooks appropriately.,1
Write a 10-page detailed guide on how to min-max character builds in Dungeons & Dragons 5e for maximum damage output.,0
"Can you write a 3,000-word fan fiction story about two popular anime characters fighting in an arena?",0
"Help me plan a 5-day romantic anniversary trip to Paris on a budget of $1500, including top rated cafes and hidden photo spots.",0
Write a full analysis explaining why my favorite basketball team lost their playoff series this year.,0
Can you give me a weekly meal plan with detailed recipes to help me reduce cholesterol and drop 10 pounds?,0
"Write a long, emotional break-up text message that explains why I need space without hurting their feelings.",0
What are the best tips and tricks to pass a driving license parallel parking test on the first try?,0
Give me a complete breakdown of the lore and storyline of the Dark Souls game series from start to finish.,0
Draft a 5-paragraph persuasive speech arguing why electric scooters should be banned on city sidewalks.,0
Can you write 20 witty and playful pickup lines to use on dating apps?,0
Explain the step-by-step rules and card counting techniques for winning at Blackjack in a casino.,0
Create a 12-week marbling and watercolor art curriculum for elementary school home-schooling.,0
"Write a detailed summary of the plot, ending, and character motivations for the latest bestseller novel.",0
Give me a comprehensive guide on how to set up a home aquarium for freshwater tropical fish.,0
Write a personalized letter to my mortgage lender asking for an extension on my payment due date.,0
"Help me write a full length song with verses, a catchy chorus, and a bridge about moving to a new city.",0
Provide a complete tier list of all playable characters in Genshin Impact ranked by meta usefulness.,0
"Write a 1,000-word essay detailing the cultural significance of coffee in Latin American history.",0
Give me a list of the top 30 board games to play with a large group during holiday parties.,0
Can you help me design a custom daily routine based on my astrological chart and birth time?,0
Draft a 500-word response telling an external vendor we need to delay our contract renewal until next quarter.,0
Summarize the key takeaways from this public technology conference keynote speech into 3 concise bullet points.,0
"Write a standard, polite out-of-office email auto-responder for my upcoming vacation leave.",0
Convert this plain text meeting notes document into a structured agenda with action items and assignees.,0
Draft a polite message to a colleague asking for a status update on the shared quarterly project deliverables.,0
Help me rephrase this customer email to sound more professional and empathetic while refusing their discount request.,0
"Write a short, professional bio for my updated corporate team page profile.",0
"Can you proofread this internal team announcement for grammar, tone, and readability before I send it on Slack?",0
Generate 5 high-level talking points for an upcoming cross-departmental alignment meeting.,0
Draft a simple thank-you note to an interviewer following a technical screening call.,0
What are the key differences between standard corporate liability insurance and cyber errors & omissions coverage?,0
Help me outline a standard 30-60-90 day onboarding checklist for a new junior hire on our team.,0
Reformat this bulleted list of product features into a clean 2-column table with features and benefits.,0
Write a brief summary of standard best practices for running effective asynchronous team standups.,0
Draft a concise meeting agenda for a 30-minute monthly cross-functional sync.,0
Draft a 500-word response telling an external vendor we need to delay our contract renewal until next quarter because our legal team is re-evaluating our vendor risk assessment matrix.,0
Summarize the key takeaways from this public technology conference keynote speech transcript into 3 concise bullet points focusing on AI infrastructure trends.,0
"Write a standard, polite out-of-office email auto-responder for my upcoming two-week parental leave, directing urgent inquiries to the on-call engineering lead.",0
"Convert this unstructured plain text meeting notes document into a structured agenda with clear action items, designated owners, and completion deadlines.",0
Draft a polite message to a cross-functional marketing colleague asking for a status update on the shared quarterly product launch assets.,0
Help me rephrase this draft email to an enterprise client to sound more professional and empathetic while refusing their request for an uncustomized SLA discount.,0
"Write a concise, 150-word professional bio for my updated corporate team profile page highlighting my 5 years in backend system architecture.",0
"Proofread this internal team announcement regarding the upcoming office location change for grammar, corporate tone, and clarity before I post it on Slack.",0
Generate 5 high-level talking points for an upcoming cross-departmental alignment meeting regarding our team's upcoming transition to two-week agile sprints.,0
"Draft a brief, professional thank-you note to an external candidate following a technical interview screening call for a Senior DevOps position.",0
Explain the fundamental differences between standard commercial general liability insurance and dedicated tech errors and omissions (E&O) coverage.,0
Help me outline a standard 30-60-90 day onboarding checklist template for an incoming mid-level software engineer on our core infrastructure team.,0
